# Source: EFFIS, Copernicus Emergency Management Service; ONS Open Geography Portal; Scottish Government.
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); OGL v3.0 (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/)
# Contains modified Copernicus Emergency Management Service information 2026; contains OS data Crown copyright and database right 2026.
# Compiled by Ranking Atlas, ranking-atlas.com
year,uk_burned_ha,uk_fires,scotland_burned_ha,scotland_fires,highland_burned_ha,highland_fires,retrieval_timestamp
2016,1197,9,825,5,503,2,2026-08-05T01:07:18.419Z
2017,5130,19,3339,10,2884,8,2026-08-05T01:07:18.419Z
2018,18033,79,10753,35,10472,27,2026-08-05T01:07:18.419Z
2019,29391,137,21852,76,12583,41,2026-08-05T01:07:18.419Z
2020,14410,115,3089,29,701,4,2026-08-05T01:07:18.419Z
2021,8092,234,5040,159,1796,47,2026-08-05T01:07:18.419Z
2022,22893,460,7510,181,4305,89,2026-08-05T01:07:18.419Z
2023,9344,112,7460,64,6379,37,2026-08-05T01:07:18.419Z
2024,2497,39,2295,24,1825,10,2026-08-05T01:07:18.419Z
2025,54008,1224,30231,603,11455,187,2026-08-05T01:07:18.419Z
2026,25200,369,5980,148,4428,36,2026-08-05T01:07:18.419Z
